iter	Passed	Remaining
416	4139	5787
417	4145	5772
418	4152	5757
419	4158	5742
420	4165	5729
421	4172	5715
422	4181	5703
423	4189	5690
424	4198	5680
425	4205	5666
426	4213	5653
427	4223	5644
428	4233	5634
429	4253	5637
430	4263	5629
431	4269	5613
432	4276	5599
433	4282	5584
434	4286	5567
435	4292	5553
436	4298	5537
437	4307	5527
438	4317	5516
439	4325	5504
440	4330	5489
441	4340	5479
442	4348	5467
443	4356	5454
444	4360	5438
445	4365	5423
446	4374	5412
447	4380	5396
448	4388	5384
449	4392	5368
450	4398	5354
451	4405	5341
452	4412	5327
453	4422	5318
454	4428	5304
455	4440	5297
456	4451	5289
457	4457	5275
458	4463	5261
459	4469	5247
460	4476	5234
461	4487	5225
462	4496	5215
463	4505	5205
464	4514	5193
465	4518	5178
466	4524	5163
467	4529	5149
468	4535	5135
469	4540	5120
470	4550	5110
471	4556	5096
472	4564	5085
473	4570	5071
474	4576	5057
475	4582	5044
476	4588	5031
477	4596	5019
478	4602	5005
479	4610	4994
480	4618	4983
481	4626	4972
482	4631	4957
483	4641	4947
484	4647	4935
485	4654	4922
486	4662	4911
487	4668	4897
488	4674	4884
489	4679	4870
490	4684	4856
491	4691	4843
492	4697	4831
493	4708	4822
494	4714	4810
495	4731	4808
496	4741	4798
497	4748	4786
498	4760	4779
499	4776	4776
500	4791	4772
501	4826	4787
502	4839	4782
503	4855	4778
504	4861	4765
505	4873	4758
506	4878	4743
507	4892	4738
508	4939	4764
509	4955	4761
510	4965	4751
511	4971	4738
512	4985	4732
513	4997	4725
514	5006	4714
515	5018	4707
516	5029	4698
517	5038	4688
518	5050	4680
519	5067	4677
520	5078	4668
521	5086	4657
522	5096	4647
523	5100	4633
524	5104	4618
525	5111	4606
526	5117	4593
527	5126	4583
528	5143	4579
529	5158	4574
530	5165	4561
531	5177	4554
532	5191	4548
533	5198	4536
534	5207	4526
535	5212	4512
536	5221	4502
537	5229	4491
538	5239	4481
539	5245	4468
540	5255	4458
541	5260	4445
542	5268	4434
543	5274	4421
544	5278	4407
545	5285	4395
546	5297	4386
547	5306	4376
548	5318	4369
549	5323	4355
550	5329	4342
551	5335	4330
552	5341	4317
553	5349	4306
554	5354	4293
555	5364	4284
556	5370	4271
557	5381	4262
558	5388	4251
559	5395	4239
560	5401	4226
561	5421	4225
562	5441	4223
563	5458	4219
564	5486	4224
565	5521	4233
566	5528	4222
567	5549	4220
568	5560	4211
569	5564	4198
570	5573	4187
571	5579	4175
572	5589	4165
573	5595	4152
574	5610	4146
575	5623	4139
576	5637	4132
577	5649	4124
578	5655	4112
579	5663	4100
580	5669	4088
581	5678	4078
582	5687	4067
583	5696	4057
584	5703	4046
585	5709	4033
586	5715	4021
