iter	RMSE
0	1.383167106
1	1.365380845
2	1.350029006
3	1.335495767
4	1.319398646
5	1.30501696
6	1.291704748
7	1.279106886
8	1.264402274
9	1.252105536
10	1.240868357
11	1.231323278
12	1.220560963
13	1.209928892
14	1.199532185
15	1.187560133
16	1.177307098
17	1.167136875
18	1.159615666
19	1.154189547
20	1.14831432
21	1.136200571
22	1.1272552
23	1.121337876
24	1.112480497
25	1.106791301
26	1.098700488
27	1.091060694
28	1.08224264
29	1.076674532
30	1.069852
31	1.063087324
32	1.057327613
33	1.050976137
34	1.046077201
35	1.041534508
36	1.037576978
37	1.031441957
38	1.028010964
39	1.022705638
40	1.017104503
41	1.012952658
42	1.007252564
43	1.001457223
44	0.9963885694
45	0.9921479547
46	0.9873963321
47	0.9836627197
48	0.9797070828
49	0.9746261601
50	0.9701490608
51	0.9660311389
52	0.9600521759
53	0.9558974248
54	0.9512063769
55	0.9475298471
56	0.9449190107
57	0.9410285104
58	0.936278686
59	0.9311342561
60	0.9290431246
61	0.9272565599
62	0.9237603886
63	0.9209857776
64	0.917542085
65	0.9142798314
66	0.9118506629
67	0.9090946914
68	0.9070726019
69	0.9017129878
70	0.8995005297
71	0.8966581786
72	0.8936255191
73	0.8910054109
74	0.8873726673
75	0.8843772148
76	0.8820216404
77	0.8791285733
78	0.8775682773
79	0.875226392
80	0.8717741658
81	0.8693898111
82	0.8675486817
83	0.8645374033
84	0.8613725534
85	0.8576126543
86	0.8559404379
87	0.8548581083
88	0.8530814383
89	0.8512341133
90	0.8487406207
91	0.8470118366
92	0.8454078399
93	0.8430077174
94	0.840827235
95	0.8385507188
96	0.8356107051
97	0.8332910472
98	0.8309332196
99	0.82941814
100	0.826716072
101	0.8255103387
102	0.8246672923
103	0.8237756264
104	0.8223335563
105	0.8188403688
106	0.8178470328
107	0.816145959
108	0.8147741713
109	0.8124716746
110	0.8102105728
111	0.8085465165
112	0.805994643
113	0.8047025482
114	0.802557841
115	0.8004136835
116	0.7986030561
117	0.7963029912
118	0.7943377159
119	0.7927082367
120	0.7906998611
121	0.7893650342
122	0.7879424331
123	0.7861375832
124	0.7851176646
125	0.7829566641
126	0.7816653178
127	0.7801399508
128	0.7786165134
129	0.7744215252
130	0.7731608583
131	0.7719456838
132	0.7695566767
133	0.7680177733
134	0.7658344368
135	0.7647241503
136	0.762983426
137	0.75975121
138	0.7564076784
139	0.7544174367
140	0.7520610385
141	0.750641652
142	0.74947115
143	0.7474979711
144	0.7458941428
145	0.7445780536
146	0.146	0.74534147	0.147	0.7435893076
148	0.7421772347
149	0.7403343499
150	0.7388492906
151	0.7374971297
152	0.7353134293
153	0.7340547898
154	0.7314339975
155	0.729429818
156	0.7274252107
157	0.7258484289
158	0.7244156241
159	0.7235915614
160	0.7224805947
161	0.7204437681
162	0.7192978005
163	0.7173986234
164	0.716873777
165	0.7161417712
166	0.714033265
167	0.712926203
168	0.7114581186
169	0.7102495859
170	0.7089093007
171	0.7067270683
172	0.705560142
173	0.7031726885
174	0.7015589421
175	0.69997067
176	0.6986403076
177	0.6969550775
178	0.6956040259
179	0.694449886
180	0.6939496508
181	0.6924760902
182	0.6915874241
183	0.6906850798
184	0.689950774
185	0.688932015
186	0.6877746186
187	0.6868754286
188	0.6862028846
189	0.6850289208
190	0.6836413657
191	0.6825037878
192	0.6809442026
193	0.6798140843
194	0.6779211325
195	0.6770337175
196	0.6753471795
197	0.6738092749
198	0.6728829272
199	0.6699285096
200	0.6682900414
201	0.6673132043
202	0.6650315849
203	0.6638492547
204	0.6625310435
205	0.6604736755
206	0.6600352529
207	0.6587619066
208	0.6573510956
209	0.6557668374
210	0.6551842034
211	0.654304079
212	0.6521229446
213	0.6513749333
214	0.6506784569
215	0.6490464967
216	0.648153265
217	0.6464247045
218	0.645625195
219	0.6453413821
220	0.6445843618
221	0.6438063331
222	0.6428842757
223	0.6409108162
224	0.6402915116
225	0.639162574
226	0.6375744092
227	0.6365915201
228	0.6351698266
229	0.633781286
230	0.6326884426
231	0.6315229403
232	0.6308012261
233	0.629485521
234	0.6287938666
235	0.6282689379
236	0.6266825833
237	0.6261601974
238	0.6250783684
239	0.6243772602
240	0.6228380227
241	0.6220059076
242	0.6209403336
243	0.6197565492
244	0.6188143133
245	0.6172012722
246	0.6163056867
247	0.615074277
248	0.614270233
249	0.612971643
250	0.6118290321
251	0.6101564628
252	0.6096058908
253	0.6089191672
254	0.6076620214
255	0.6071322929
256	0.6067770642
257	0.6057843819
258	0.6047197413
259	0.6036384223
260	0.6031585558
261	0.6021387997
262	0.600632908
263	0.5996322185
264	0.5993523105
265	0.5981389699
266	0.5973330211
267	0.5966245248
268	0.5957794625
269	0.594980533
270	0.5934914043
271	0.5931984182
272	0.5923754451
273	0.59200883
274	0.5912954754
275	0.5896852103
276	0.588834079
277	0.5881168758
278	0.5869082928
279	0.5862095166
280	0.5855449455
281	0.5849048596
282	0.5844320547
283	0.5841587652
284	0.5835022656
285	0.5825811852
286	0.5810638053
287	0.5809962149
