SMILES,pIC50,weight,logp,h_bond_donor,h_bond_acceptors,rotatable_bonds,atoms,heavy_atoms,molar_refractivity,topological_polar_surface_area,formal_charge,rings
CNc1ccc(-c2cc3ccc(OC)cc3o2)cn1,7.180456064458132,254.105527688,3.5451000000000015,1.0,4.0,3.0,19.0,19.0,75.54370000000003,47.29,0.0,3.0
COc1ccc2cc(-c3ccc(C(N)=O)nc3)oc2c1,7.221848749616356,268.084792244,2.6023000000000005,1.0,4.0,3.0,20.0,20.0,74.51490000000001,78.35000000000001,0.0,3.0
COc1ccc2cc(-c3ccc(C(N)=O)cn3)oc2c1,7.481486060122112,268.084792244,2.6023000000000005,1.0,4.0,3.0,20.0,20.0,74.51490000000001,78.35000000000001,0.0,3.0
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,7.721246399047171,256.067034004,3.7106000000000012,2.0,4.0,2.0,18.0,18.0,76.26750000000003,45.150000000000006,0.0,3.0
CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,7.657577319177793,257.062282972,3.105600000000001,2.0,5.0,2.0,18.0,18.0,74.06250000000001,58.040000000000006,0.0,3.0
Oc1ccc2nc(-c3ccc(NCCF)nc3)oc2c1,6.801342913045577,273.09135484399997,2.976800000000001,2.0,5.0,4.0,20.0,20.0,73.36950000000002,71.18,0.0,3.0
COc1ccc2nc(-c3ccc(NCCF)nc3)oc2c1,7.455931955649724,287.10700490799996,3.2798000000000007,1.0,5.0,5.0,21.0,21.0,78.25670000000002,60.18,0.0,3.0
Oc1ccc2nc(-c3ccc(NCCCF)nc3)oc2c1,6.403402904373539,287.10700490799996,3.366900000000001,2.0,5.0,5.0,21.0,21.0,77.98650000000002,71.18,0.0,3.0
Oc1ccc2nc(-c3ccc(NCCF)nc3)sc2c1,7.481486060122112,289.06851122399996,3.4453000000000014,2.0,5.0,4.0,20.0,20.0,78.9805,58.040000000000006,0.0,3.0
Oc1ccc2nc(-c3ccc(NCCCF)nc3)sc2c1,7.180456064458132,303.08416128799996,3.8354000000000017,2.0,5.0,5.0,21.0,21.0,83.59750000000001,58.040000000000006,0.0,3.0
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,7.619788758288394,274.057612192,3.8497000000000012,2.0,4.0,2.0,19.0,19.0,76.22550000000003,45.150000000000006,0.0,3.0
CNc1ccc(-c2nc3ccc(O)cc3s2)nc1F,7.356547323513812,275.05286115999996,3.244700000000001,2.0,5.0,2.0,19.0,19.0,74.02050000000001,58.040000000000006,0.0,3.0
CNc1ccc(-c2nc3ccc(OC)cc3s2)c(F)n1,7.853871964321762,289.068511224,3.5477000000000016,1.0,5.0,3.0,20.0,20.0,78.90770000000002,47.040000000000006,0.0,3.0
CNc1ccc(-c2nc3ccc(O)cc3s2)c(F)n1,6.906578314837765,275.05286116,3.244700000000001,2.0,5.0,2.0,19.0,19.0,74.02050000000001,58.040000000000006,0.0,3.0
CNc1ncc(-c2nc3ccc(O)cc3s2)cc1F,7.008773924307505,275.05286115999996,3.244700000000001,2.0,5.0,2.0,19.0,19.0,74.0205,58.040000000000006,0.0,3.0
CNc1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,7.619788758288394,258.080455812,3.3812000000000006,2.0,4.0,2.0,19.0,19.0,70.6145,58.29,0.0,3.0
CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)c(F)n1,7.721246399047171,285.091354844,2.7744999999999997,2.0,4.0,3.0,21.0,21.0,77.4676,81.14999999999999,0.0,3.0
CNc1ncc(-c2cc3cc(O)ccc3o2)cc1F,7.522878745280337,258.080455812,3.3812000000000006,2.0,4.0,2.0,19.0,19.0,70.6145,58.290000000000006,0.0,3.0
COc1ccc2oc(-c3ccc(C(N)=O)nc3F)cc2c1,7.494850021680094,286.07537043200006,2.7414000000000005,1.0,4.0,3.0,21.0,21.0,74.47290000000001,78.35000000000001,0.0,3.0
NC(=O)c1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,7.356547323513812,272.05972036800006,2.4384000000000006,2.0,4.0,2.0,20.0,20.0,69.5857,89.35000000000001,0.0,3.0
CNc1ccc(-c2cc3cc(O)ccc3o2)nc1F,7.455931955649724,258.080455812,3.3812000000000006,2.0,4.0,2.0,19.0,19.0,70.6145,58.29,0.0,3.0
CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)nc1F,7.494850021680094,285.09135484399997,2.7745000000000006,2.0,4.0,3.0,21.0,21.0,77.4676,81.14999999999999,0.0,3.0
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)ncn2)ccc1O,5.494850021680094,376.14230712,4.245800000000004,2.0,6.0,6.0,28.0,28.0,109.20560000000002,84.7,0.0,3.0
COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)c(O)c3)ncn2)cc1O,5.6777807052660805,376.14230712,4.245800000000005,2.0,6.0,6.0,28.0,28.0,109.20560000000002,84.7,0.0,3.0
CN(C)c1cc(/C=C/c2cc(/C=C/c3ccc(O)c(N(C)C)c3)ncn2)ccc1O,5.431798275933005,402.205576072,4.360600000000004,2.0,6.0,6.0,30.0,30.0,124.75560000000002,72.72,0.0,3.0
CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)c(O)c3)ncn2)cc1O,5.468521082957745,402.205576072,4.360600000000005,2.0,6.0,6.0,30.0,30.0,124.75560000000003,72.72,0.0,3.0
COc1nc(/C=C/c2ccc(N(C)C)c(O)c2)cc(/C=C/c2ccc(N(C)C)c(O)c2)n1,6.096910013008056,432.216140756,4.3692000000000055,2.0,7.0,7.0,32.0,32.0,131.30760000000004,81.95,0.0,3.0
CSc1nc(/C=C/c2ccc(N(C)C)c(O)c2)cc(/C=C/c2ccc(N(C)C)c(O)c2)n1,5.958607314841775,448.193297136,5.082500000000006,2.0,7.0,7.0,32.0,32.0,136.53659999999996,72.72,0.0,3.0
Oc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)cc3)c2)cc1,5.795880017344075,330.125594436,5.144200000000004,3.0,3.0,4.0,25.0,25.0,102.1764,60.69,0.0,3.0
COc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(OC)c(O)c3)c2)cc1O,5.795880017344075,390.1467238039999,5.161400000000007,3.0,5.0,6.0,29.0,29.0,115.28040000000001,79.15,0.0,3.0
CN(C)c1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(N(C)C)c(O)c3)c2)cc1O,5.481486060122113,416.20999275599996,5.276200000000007,3.0,5.0,6.0,31.0,31.0,130.8304,67.17,0.0,3.0
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,4.886056647693163,467.98689638,6.212220000000004,2.0,4.0,5.0,29.0,29.0,118.82030000000002,78.76,0.0,3.0
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,4.207608310501746,467.98689638,6.212220000000004,2.0,4.0,5.0,29.0,29.0,118.82030000000002,78.76,0.0,3.0
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(N)c1,4.522878745280337,296.03862633600005,3.03142,2.0,3.0,3.0,19.0,19.0,77.85190000000003,72.19,0.0,2.0
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(N)c1,4.638272163982407,296.03862633600005,3.03142,2.0,3.0,3.0,19.0,19.0,77.85190000000003,72.19,0.0,2.0
O=C(O)/C=C/c1ccc(O)c(O)c1,4.484126156288321,180.042258736,1.1956,3.0,3.0,2.0,13.0,13.0,46.441400000000016,77.76,0.0,1.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,4.031984286006359,354.09508215599993,-0.6459000000000001,6.0,8.0,4.0,25.0,25.0,82.51880000000001,164.75,0.0,2.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O,4.785156151952302,516.1267762079999,1.0295999999999996,7.0,11.0,7.0,37.0,37.0,125.19760000000002,211.27999999999997,0.0,3.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1[C@H](O)C[C@@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,5.327902142064283,516.1267762079999,1.0295999999999996,7.0,11.0,7.0,37.0,37.0,125.19760000000002,211.27999999999997,0.0,3.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,7.0,516.1267762079999,1.0295999999999996,7.0,11.0,7.0,37.0,37.0,125.19760000000002,211.27999999999997,0.0,3.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,5.657577319177793,678.15847026,2.7051000000000007,8.0,14.0,10.0,49.0,49.0,167.87639999999982,257.80999999999995,0.0,4.0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,6.522878745280337,678.15847026,2.7051000000000016,8.0,14.0,10.0,49.0,49.0,167.87639999999982,257.80999999999995,0.0,4.0
COC(=O)[C@]1(O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1,5.522878745280337,692.1741203239999,2.7935000000000034,7.0,15.0,10.0,50.0,50.0,172.25659999999976,246.80999999999997,0.0,4.0
Nc1c(S(=O)(=O)c2ccc(Cl)cc2)cnc2cc(-c3ccccc3)nn12,5.638272163982407,384.04477433600005,3.4647000000000023,1.0,6.0,3.0,26.0,26.0,99.7392,90.35000000000001,0.0,4.0
